Structure,GO_ft,a,b,c
S65EX1,9.5,0.011442994,0.308978016,1.007987997
S65EX1,10.5,0.007041578,0.662540655,-3.882566045
S65EX1,11.5,-0.026388092,2.408111479,-25.28111365
S65EX1,12.5,-0.007104998,1.587171424,-15.86785557
S41,5.0,0.190985997,-2.022439,2.384020768
S41,5.5,0.181205641,-1.71424261,1.487188018
S41,6.0,0.196535823,-1.75483605,1.724930335
S41,6.5,0.311184634,-3.399437145,8.32005835
S40,4.0,0.02401588,0.277640721,-5.645642236
S40,4.5,0.039100203,0.055276055,-4.426660562
S40,5.0,0.046746578,-0.042618782,-3.717740089
S40,5.5,0.046405184,-0.065232263,-3.127901394
S40,6.0,0.06470878,-0.230742932,-2.487472083
S40,6.5,0.834961082,-10.44474624,31.91166988
S153,1.5,-0.009364416,0.559350955,-2.089214568
S153,2.0,-0.015236501,0.832867694,-4.390842653
S153,3.0,-0.029723657,1.543840819,-11.22824614
S153,4.0,-0.041440569,2.147708172,-17.20222287
S153,5.0,-0.027577286,1.817039679,-14.92008573
S153,6.0,-0.030215058,2.100292612,-18.383229
S153,7.0,-0.032585774,2.323362964,-20.92123034
S153,8.0,0.180111205,-6.571087852,73.06569925
S351,2.0,0.035708139,-0.731527107,10.35964318
S351,3.0,0.065348535,-1.066027147,11.63781207
S351,4.0,0.069687152,-0.87821032,9.921137893
S351,5.0,0.047437896,-0.17672787,5.654137993
S351,6.0,0.028629521,0.335370475,2.713490495
S351,7.0,0.016600187,0.662974323,0.840588298
S352,1.0,-0.000948599,0.228418106,2.336537588
S352,2.0,0.031569385,-0.056004621,3.715301137
S352,3.0,0.029607749,0.231067839,2.649218636
S352,4.0,0.018954613,0.5378637,1.448428469
S352,6.0,0.013992059,0.707363185,0.890216881
S354,1.0,-0.003422583,0.298859395,2.460565437
S354,1.5,-0.004607203,0.430127995,2.09742988
S354,2.0,-0.005713154,0.553753238,1.932700757
S354,3.0,-0.009199488,0.791573484,0.94811515
S354,4.0,-0.007647969,0.861959215,0.738225332
S354,5.0,-0.009334559,0.985776301,0.093345351
S354,6.0,-0.008058477,1.001085555,0.057984282
S354,7.0,-0.004625037,0.967644707,0.196126534
S354,8.0,-0.01127551,1.143581724,-0.742024361
S191,2.5,-0.002226437,0.350703286,2.108329236
S191,3.0,-0.005728441,0.537858943,0.511497204
S191,4.0,-0.022727802,1.280750127,-6.108354274
S191,5.0,-0.022932932,1.373435534,-6.684332627
S191,6.0,-0.035147876,1.873909537,-10.7300525
S191,7.0,-0.035160651,1.909608158,-10.57682401
S191,8.0,-0.021004966,1.36879791,-4.732237747
S191,9.0,-0.03308255,1.904251308,-9.811841699
S191,10.0,-0.008031958,1.01737086,-1.477202979
S191,11.0,-0.020668355,1.570722035,-6.909188808
S191,12.0,-0.02498987,1.798551312,-9.194591186
S191,13.0,-0.017068608,1.557575307,-7.024320873
S191,14.0,-0.014047832,1.449951806,-5.547429556
S97,1.5,-0.0017,0.3089,1.3933
S97,2.0,-0.0021,0.3468,1.6421
S97,2.5,-0.0010,0.3301,2.3106
S97,3.0,0.0000,0.3055,3.0461
S97,3.5,0.0013,0.2759,3.6825
S97,4.0,0.0003,0.3468,3.2536
S97,4.5,0.0008,0.3706,3.0231
S97,5.0,0.0107,0.1391,4.4490
S97,5.5,0.0334,-0.4261,8.0145
S61,4.0,-0.018099462,2.412769697,-28.6617799
S61,5.0,-0.00845085,1.412829951,-1.90394169
S61,6.0,-0.007663681,1.407589681,-3.197331379
S61,7.0,-0.006382129,1.345505862,-2.974803071
S61,8.0,-0.008385123,1.605826203,-10.67112594
S61,9.0,-0.007961922,1.581134274,-10.21684833
S61,10.0,-0.009815248,1.810224353,-16.78594728
S61,11.0,-0.006829115,1.513115367,-9.102148446
S61,12.0,-0.002480275,1.051873943,3.692636612
